"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.08143 0.0772 0.0772
0.08153 0.1036 0.1036
0.08163 0.1036 0.1036
0.08173 0.0832 0.0832
0.08183 0.0790 0.0790
0.08192 0.1215 0.1215
0.08202 0.1108 0.1108
0.08212 0.0928 0.0928
0.08222 0.1006 0.1006
0.08232 0.0641 0.0641
0.08242 0.0629 0.0629
0.08252 0.0623 0.0623
0.08262 0.0665 0.0665
0.08272 0.0641 0.0641
0.08282 0.0665 0.0665
0.08292 0.1072 0.1072
0.08302 0.0922 0.0922
0.08312 0.0970 0.0970
0.08322 0.1174 0.1174
0.08332 0.1222 0.1222
0.08342 0.1239 0.1239
0.08352 0.1042 0.1042
0.08362 0.1006 0.1006
0.08372 0.1263 0.1263
0.08382 0.1204 0.1204
0.08392 0.1287 0.1287
0.08402 0.1341 0.1341
0.08411 0.1269 0.1269
0.08421 0.1192 0.1192
0.08431 0.0874 0.0874
0.08441 0.0862 0.0862
0.08451 0.0916 0.0916
0.08461 0.0814 0.0814
0.08471 0.0880 0.0880
0.08481 0.0832 0.0832
0.08491 0.0832 0.0832
0.08501 0.0844 0.0844
0.08511 0.0850 0.0850
0.08521 0.0844 0.0844
0.08531 0.0820 0.0820
0.08541 0.0892 0.0892
0.08551 0.0826 0.0826
0.08561 0.0898 0.0898
0.08571 0.0844 0.0844
0.08581 0.0892 0.0892
0.08591 0.0856 0.0856
0.08601 0.0838 0.0838
0.08611 0.0832 0.0832
0.08621 0.0832 0.0832
0.08630 0.0820 0.0820
0.08640 0.0868 0.0868
0.08650 0.0814 0.0814
0.08660 0.0898 0.0898
0.08670 0.1227 0.1227
0.08680 0.1239 0.1239
0.08690 0.1078 0.1078
0.08700 0.1126 0.1126
0.08710 0.1036 0.1036
0.08720 0.1263 0.1263
0.08730 0.1227 0.1227
0.08740 0.1281 0.1281
0.08750 0.1371 0.1371
0.08760 0.1395 0.1395
0.08770 0.1293 0.1293
0.08780 0.1096 0.1096
0.08790 0.1078 0.1078
0.08800 0.1150 0.1150
0.08810 0.0952 0.0952
0.08820 0.1024 0.1024
0.08830 0.1006 0.1006
0.08840 0.1156 0.1156
0.08849 0.1257 0.1257
0.08859 0.0874 0.0874
0.08869 0.0844 0.0844
0.08879 0.1084 0.1084
0.08889 0.1275 0.1275
0.08899 0.1132 0.1132
0.08909 0.1215 0.1215
0.08919 0.1425 0.1425
0.08929 0.1305 0.1305
0.08939 0.1341 0.1341
0.08949 0.0940 0.0940
0.08959 0.1347 0.1347
0.08969 0.1251 0.1251
0.08979 0.1198 0.1198
0.08989 0.1365 0.1365
0.08999 0.1395 0.1395
0.09009 0.1341 0.1341
0.09019 0.1317 0.1317
0.09029 0.1371 0.1371
0.09039 0.1557 0.1557
0.09049 0.1353 0.1353
0.09059 0.1305 0.1305
0.09068 0.1323 0.1323
0.09078 0.1545 0.1545
0.09088 0.1503 0.1503
0.09098 0.1940 0.1940
0.09108 0.1461 0.1461
0.09118 0.1156 0.1156
0.09128 0.1437 0.1437
0.09138 0.1275 0.1275
0.09148 0.1347 0.1347
0.09158 0.1940 0.1940
0.09168 0.1778 0.1778
