alpha,beta_logGenLength,beta_diet_VertFishScav,residual_sd
-0.06509001401577054,-0.5918813137477533,0.19889703793716246,0.27316510174629255
-0.0912354760995586,-0.5627333887937634,0.19340925553029864,0.287514691985728
-0.09686987928891728,-0.6052076209658241,0.24136595582933434,0.2700428179991758
-0.10615829961279491,-0.5833868232536987,0.2061807360530655,0.2818177331367477
-0.011196015501019365,-0.7335004187771624,0.2715678907191005,0.2979871550068568
-0.058975577692696415,-0.6278531220649006,0.11613285343082344,0.29801104161958625
0.030764414552811176,-0.7438980369697326,0.23230717960264186,0.2824212099009883
-0.005530566942984424,-0.7838285583256693,0.3466066585623166,0.274667912226037
0.012742110020070384,-0.7542702027668312,0.2604752129765222,0.3076969218758783
-0.13854932420732413,-0.439287688338679,0.11970682930872087,0.2896158795280677
-0.03534036381327357,-0.6463008974003145,0.30556761254996045,0.292684659873847
-0.12350385789670257,-0.6311477062254853,0.27410294086358805,0.2891747891338339
-0.10231287134262264,-0.5093278049081007,0.17173777799673906,0.2816174365285571
-0.13163336093840286,-0.47034186023346286,0.12675635949419264,0.3134080465114185
-0.015149225912685388,-0.7936076299956991,0.3619491428348203,0.29596396689421295
-0.055832471676002714,-0.7257116862443267,0.25162429487938304,0.2763040004801657
-0.07342799870843927,-0.6252437415721596,0.19782606192603797,0.2814029479589899
-0.10869886887959523,-0.5621315047489714,0.15694883243449048,0.27410009024618726
-0.16620690990954765,-0.4933501003141188,0.24137497526136645,0.2722534438781854
-0.06301483488692217,-0.5506790720262282,0.14483339554531827,0.29483699716675515
-0.07959703969542864,-0.5468123909329735,0.2042702990588501,0.2838031309043402
-0.04729643339099844,-0.6800601440976456,0.2841616934672562,0.2781429611243963
-0.05897476659729327,-0.6531779074028944,0.2396184333849683,0.2700541812170223
-0.08643186100358613,-0.5642812210253949,0.14919077819046306,0.2997272618255937
-0.14350412956028885,-0.5044005279239455,0.12004195942137715,0.2857496987343138
-0.0401978401538922,-0.626182307845984,0.23125586104606372,0.2959998297477526
-0.08708447676074005,-0.5806537684335037,0.12187405941642913,0.26850769223740495
-0.050026957102277496,-0.6541989065063774,0.2658724078460591,0.2835881843208353
-0.011804801722183421,-0.705109063488,0.23761162312802667,0.28062215470572094
-0.086377782475506,-0.5984950559801477,0.23311672596918304,0.3021627781968126
-0.11076597969179405,-0.5581410002334313,0.20055470416388757,0.2792627173833909
-0.04794654028601523,-0.6613834146624845,0.22437914508679033,0.2735984051938985
-0.08814338167372045,-0.5471648615201556,0.17538380743885806,0.2789414647609781
-0.04839058154040729,-0.625844064489928,0.23912844355048504,0.2720649374339987
0.006839563271762009,-0.7565788338763729,0.21783180322176748,0.27302576020076347
-0.1089569721325852,-0.5306189651201716,0.21557932654726097,0.28254817769585366
-0.10694903380295377,-0.5519426059691768,0.2331349228550424,0.2805841060629701
0.0011515092419254105,-0.7611604935385159,0.27456877156313925,0.28397892954971776
-0.05448176469112943,-0.6117551889040448,0.24258059125307882,0.2898360937866067
-0.0875612296274301,-0.6472813554361344,0.31410868048864093,0.28428063197841125
-0.028687877929237854,-0.6981394198668275,0.292122061937908,0.28095694160213114
-0.10228151259526144,-0.5690563936876564,0.29234582767477907,0.29506420971147507
-0.09499775354116588,-0.5170151165363125,0.18547869851135465,0.2859078764872729
-0.005297177474784996,-0.6693003695054238,0.19307383349208626,0.2748898298128214
-0.1421414684372235,-0.4917550090672673,0.1011633044694024,0.28446671823777525
-0.04969944321423586,-0.5881041360183219,0.1681439735759267,0.2976559175199312
-0.11204950700558063,-0.5640443747606075,0.20687902549901666,0.30571452059127613
-0.10488003436658182,-0.4995394427100369,0.22223090740141133,0.26656542685065904
-0.027257665486597506,-0.6210216107632347,0.2014557488101735,0.2933263841083022
-0.10463125658632398,-0.534564364325398,0.15603161479598934,0.2873832026794564
-0.1497804664640882,-0.4408943069755592,0.2686720885344935,0.26993165469543867
-0.10547865364269052,-0.5087373952878883,0.22236910967264217,0.29660909022414805
-0.040716827285543836,-0.654516354822681,0.2364493560251525,0.2903312264382625
-0.04458040601850579,-0.6448624154460934,0.24749959422906478,0.27092174576853983
-0.06630744234360109,-0.653516713001009,0.1939296752903287,0.28300359109699713
-0.04930815464102107,-0.5972972035278395,0.24655048214252132,0.2780721602961806
-0.060455672326528535,-0.5528607783490351,0.12403547877490796,0.28094943192134686
-0.10081374858710425,-0.5779415479312597,0.14809433608104966,0.2847366520556055
-0.023512231564032503,-0.6408461384133803,0.13118712134662255,0.2792232819205571
-0.08807796294629787,-0.5544845816101528,0.1971140416356279,0.2747721916641122
-0.10567404509136828,-0.5468455482421681,0.17056334208006574,0.2960325768761729
-0.08580641434792477,-0.5891425566004044,0.22195226490299896,0.27068880328604183
-0.08424670596847061,-0.6691509418854436,0.25389884467277085,0.286534147735301
0.02455334167126273,-0.7847357583137702,0.2525220989136826,0.273143660319185
-0.0749468449471792,-0.6803838154963481,0.22104227180084352,0.27457215801281726
-0.10777473932560239,-0.5560543649665571,0.19608176386400564,0.2830752730335569
-0.13032184945387873,-0.5328033676937135,0.1885163201533148,0.2744939704844984
-0.08428200459970184,-0.6336200410731789,0.337919861152562,0.2637512718305579
-0.06021224836292749,-0.6505217272329636,0.20269021408354213,0.2527733913097009
-0.10733294224205164,-0.5569548085613315,0.21783678872264453,0.27947645429980883
-0.05981740131518754,-0.6779059408112448,0.3077616712252703,0.29285283294071146
-0.05640257562483398,-0.7168707359394348,0.33092709554714517,0.280408731516789
-0.03811723910213649,-0.6157225833256372,0.2655039194342365,0.2814683826166382
