[2026-08-18T06:41:07.871Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=120/188 species="Microgale longicaudata" occupied_cells=704036 patches=7662 elapsed_seconds=1.09
[2026-08-18T06:41:08.923Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=121/188 species="Microgale majori" occupied_cells=83159 patches=576 elapsed_seconds=1.05
[2026-08-18T06:41:10.108Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=122/188 species="Microgale mergulus" occupied_cells=62323 patches=1410 elapsed_seconds=1.18
[2026-08-18T06:41:11.214Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=123/188 species="Microgale parvula" occupied_cells=705306 patches=7682 elapsed_seconds=1.11
[2026-08-18T06:41:12.426Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=124/188 species="Microgale principula" occupied_cells=563005 patches=4924 elapsed_seconds=1.21
[2026-08-18T06:41:13.493Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=125/188 species="Microgale pusilla" occupied_cells=220569 patches=2269 elapsed_seconds=1.07
[2026-08-18T06:41:14.674Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=126/188 species="Microgale soricoides" occupied_cells=306091 patches=3910 elapsed_seconds=1.18
[2026-08-18T06:41:15.866Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=127/188 species="Microgale taiva" occupied_cells=453216 patches=3531 elapsed_seconds=1.19
[2026-08-18T06:41:16.929Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=128/188 species="Microgale thomasi" occupied_cells=270746 patches=1242 elapsed_seconds=1.06
[2026-08-18T06:41:18.111Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=129/188 species="Mirza coquereli" occupied_cells=29786 patches=421 elapsed_seconds=1.18
